
  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
                  | 20240127       | 20240127            
   20240127000000 | 20240127000000 | 2024-01-27 00:00:00 
   20240127       |                | 20240127            
   20251230030103 |                | 2025-12-30 03:01:03 
   20251230122652 |                | 2025-12-30 12:26:52 
   20251230125531 |                | 2025-12-30 12:55:31 
   20251230130502 |                | 2025-12-30 13:05:02 
   20251230130946 |                | 2025-12-30 13:09:46 
   20251230131701 |                | 2025-12-30 13:17:01 
   20251230131833 |                | 2025-12-30 13:18:33 
   20251230132438 |                | 2025-12-30 13:24:38 
   20251230132447 |                | 2025-12-30 13:24:47 
   20260102123633 |                | 2026-01-02 12:36:33 
   20260102123826 |                | 2026-01-02 12:38:26 
   20260102123925 |                | 2026-01-02 12:39:25 
   20260102133212 |                | 2026-01-02 13:32:12 
   20260102145053 |                | 2026-01-02 14:50:53 
   20260102151112 |                | 2026-01-02 15:11:12 
   20260102161913 |                | 2026-01-02 16:19:13 
   20260102175603 |                | 2026-01-02 17:56:03 
   20260102191733 |                | 2026-01-02 19:17:33 
   20260102192939 |                | 2026-01-02 19:29:39 
   20260102193527 |                | 2026-01-02 19:35:27 
   20260124000000 |                | 2026-01-24 00:00:00 
   20260124140000 |                | 2026-01-24 14:00:00 
   20260124141000 |                | 2026-01-24 14:10:00 
   20260124142000 |                | 2026-01-24 14:20:00 
   20260124143000 |                | 2026-01-24 14:30:00 
   20260126231500 |                | 2026-01-26 23:15:00 
   20260126233000 |                | 2026-01-26 23:30:00 
   20260129144000 |                | 2026-01-29 14:40:00 
   20260205170500 |                | 2026-02-05 17:05:00 
   20260205172000 |                | 2026-02-05 17:20:00 
   20260205173000 |                | 2026-02-05 17:30:00 
   20260205200000 |                | 2026-02-05 20:00:00 
   20260208181000 |                | 2026-02-08 18:10:00 
   20260208183000 |                | 2026-02-08 18:30:00 
   20260208191000 |                | 2026-02-08 19:10:00 
   20260208192000 |                | 2026-02-08 19:20:00 
   20260208193000 |                | 2026-02-08 19:30:00 
   20260208194000 |                | 2026-02-08 19:40:00 
   20260208195000 |                | 2026-02-08 19:50:00 
   20260209000000 |                | 2026-02-09 00:00:00 
   20260212000000 |                | 2026-02-12 00:00:00 
   20260212000001 |                | 2026-02-12 00:00:01 
   20260212000002 |                | 2026-02-12 00:00:02 
   20260213161000 |                | 2026-02-13 16:10:00 
   20260213170000 |                | 2026-02-13 17:00:00 
   20260213190000 |                | 2026-02-13 19:00:00 
   20260214133000 |                | 2026-02-14 13:30:00 
   20260214145000 |                | 2026-02-14 14:50:00 
   20260214150000 |                | 2026-02-14 15:00:00 
   20260214160000 |                | 2026-02-14 16:00:00 
   20260214193000 |                | 2026-02-14 19:30:00 
   20260214201500 |                | 2026-02-14 20:15:00 
   20260215120000 |                | 2026-02-15 12:00:00 
   20260216180000 |                | 2026-02-16 18:00:00 
   20260216183000 |                | 2026-02-16 18:30:00 
   20260216184500 |                | 2026-02-16 18:45:00 
   20260216190000 |                | 2026-02-16 19:00:00 
   20260216200000 |                | 2026-02-16 20:00:00 
   20260216210000 |                | 2026-02-16 21:00:00 
   20260216220000 |                | 2026-02-16 22:00:00 
   20260216230000 |                | 2026-02-16 23:00:00 
   20260217002500 |                | 2026-02-17 00:25:00 
   20260217003200 |                | 2026-02-17 00:32:00 
   20260217013000 |                | 2026-02-17 01:30:00 
   20260217014500 |                | 2026-02-17 01:45:00 
   20260217030000 |                | 2026-02-17 03:00:00 
   20260217030500 |                | 2026-02-17 03:05:00 
   20260217093500 |                | 2026-02-17 09:35:00 
   20260217101500 |                | 2026-02-17 10:15:00 
   20260217102500 |                | 2026-02-17 10:25:00 
   20260217110000 |                | 2026-02-17 11:00:00 
   20260217112500 |                | 2026-02-17 11:25:00 
   20260217113500 |                | 2026-02-17 11:35:00 
   20260217150000 |                | 2026-02-17 15:00:00 
   20260217160000 |                | 2026-02-17 16:00:00 
   20260217163000 |                | 2026-02-17 16:30:00 
   20260217164500 |                | 2026-02-17 16:45:00 
   20260217170500 |                | 2026-02-17 17:05:00 
   20260219204500 |                | 2026-02-19 20:45:00 
   20260219210000 |                | 2026-02-19 21:00:00 
   20260219213000 |                | 2026-02-19 21:30:00 
   99999999999999 |                | 99999999999999      

